id;code;name;status;created_date
1;advocate;sun swiftly;when when;2025-11-12T11:57:45
2;shear via;reluctantly phew;painfully;2025-11-12T03:20:16
3;pish pants;plain igloo onto;boastfully across old;2025-11-12T06:55:58
4;enlightened handful;until snowplow infamous;sadly emerge lowball;2025-11-12T11:46:32
5;after indeed;relative sonar decryption;preheat worriedly fooey;2025-11-11T20:57:18
6;pro stiff;tomorrow;fully;2025-11-12T05:58:56
7;acidly since;mockingly;alongside;2025-11-11T22:11:58
8;warmly since;so;yippee enthusiastically pronoun;2025-11-11T20:46:10
9;meh loyally massage;yearn;fooey funny colorless;2025-11-11T14:11:04
10;delightfully;fast instructor even;deeply;2025-11-11T16:05:11
