id;instrument_symbol;contract_type;expiry;strike;option_type;segment
1;accountability;OPTION;2025-11-12;8897.25;CE;um whether
2;forecast taut;FUTURE;2025-11-12;3562.77;PE;exactly
3;on community;OPTION;2025-11-11;30050.21;PE;jungle yahoo lively
4;annually entice;OPTION;2025-11-11;2643.18;PE;promptly psst
5;pine continually afore;OPTION;2025-11-12;17481.01;PE;barracks
6;hmph;OPTION;2025-11-12;19709.82;PE;austere an
7;unbalance uh-huh meanwhile;FUTURE;2025-11-12;11532.1;CE;soon provided
8;swat petal;FUTURE;2025-11-12;27539.37;PE;hefty diligently
9;procurement minus;OPTION;2025-11-12;29467.06;CE;interestingly analogy yowza
10;amongst fen pish;FUTURE;2025-11-12;29636.57;PE;unimpressively
