id;type;instrument_symbol;ex_date;pay_date;ratio;cash_amount
1;SYMBOL_CHANGE;improbable dimly;2025-11-12;2025-11-12;32737.16;90.04
2;DIVIDEND;gah empty damp;2025-11-11;2025-11-12;7466.47;8081.31
3;SYMBOL_CHANGE;crank fooey;2025-11-11;2025-11-12;14757.63;29069.62
4;SYMBOL_CHANGE;er stylish;2025-11-12;2025-11-11;24104.18;20745.68
5;MERGER;rapid ideal;2025-11-12;2025-11-12;10910.6;10460.56
6;SPLIT;distant;2025-11-12;2025-11-11;30557.16;24584.97
7;MERGER;as briefly cantaloupe;2025-11-12;2025-11-12;12664.27;23604.64
8;SYMBOL_CHANGE;fooey;2025-11-12;2025-11-12;8266.26;2148.31
9;MERGER;tuber hot;2025-11-11;2025-11-11;13814.29;18218.84
10;SPLIT;aside quintuple;2025-11-12;2025-11-12;26515.28;7345.04
