id;code;name;timezone;status
1;drab till;grimy fooey;dowse;ACTIVE
2;well-groomed absent ugh;pear;ugh;INACTIVE
3;boohoo heroine;downchange foodstuffs rewarding;dulcimer afterwards norm;INACTIVE
4;if yuck;wrongly;neaten for;INACTIVE
5;very yowza;excepting;victoriously;INACTIVE
6;mouser and appropriate;poetry along;draw per;ACTIVE
7;alongside whether lest;painfully unlucky lighthearted;geez;INACTIVE
8;understated fowl;uh-huh rightfully shadowy;yellowish oof doing;INACTIVE
9;sternly duh;at translation quintuple;excitedly vary;INACTIVE
10;formula far slump;instance on;entomb;INACTIVE
