id;exec_ts;side;px;qty;liquidity;fee
1;2025-11-11T18:03:58;SELL;22553.26;18337.58;except enthusiastically pivot;7226.44
2;2025-11-11T22:02:30;BUY;15471.6;1266.65;which dark;17071.38
3;2025-11-12T01:32:04;SELL;18515.56;17043.82;mechanically impeccable qua;12340.01
4;2025-11-12T11:39:40;SELL;28775.73;7733.63;consequently midst jam-packed;23847.77
5;2025-11-12T08:04:41;SELL;20328.45;2022.1;ugh;14660.85
6;2025-11-11T23:09:49;BUY;24376.95;12438.98;until;14750.57
7;2025-11-12T04:40:52;SELL;9019.77;10435.99;willow;21219.71
8;2025-11-12T12:50:15;BUY;28740.11;5573.29;but that across;29105.75
9;2025-11-12T09:51:09;SELL;17867.52;17611.46;oof beyond;21821.4
10;2025-11-11T13:55:31;SELL;19558.74;14469.22;democratize;21373.8
