id;symbol;name;asset_class;exchange_code;tick_size;lot_size;currency;status
1;begonia;demob;EQUITY;against filthy;26129.17;19725;USD;rationale netsuke apropos
2;terribly devise unlawful;midst;CRYPTO;ack really selfish;31686.55;27849;USD;space
3;shrill;ouch;CRYPTO;subtract sock;13404.76;5597;INR;across immaculate
4;interviewer;where gee;EQUITY;round;25983.67;14940;USD;unfortunate before
5;prejudge unimpressively merry;excess sick;EQUITY;glaring;22231.03;11191;USD;if why to
6;aw yum;bah bicycle suspiciously;CRYPTO;unfinished gee;19817.51;19567;INR;delicious
7;clamour consequently;where considering;CRYPTO;until put;23484.12;8067;USD;oof
8;knit ironclad provided;without mob slimy;OPTION;starch smoothly irritably;1922.91;25740;INR;amidst attraction cap
9;after;quintuple definitive;CRYPTO;failing indeed cease;17020.72;1758;INR;out lumpy
10;growing pfft;loudly wearily solemnly;CRYPTO;tedious whack;12464.58;562;INR;meh though
