id;side;type;qty;limit_px;stop_px;tif;status;rejection_reason;venue;created_at;updated_at
1;BUY;STOP;23229.53;4534.12;20657.1;IOC;ACCEPTED;splash yippee hmph;internationalize indeed lasting;2025-11-11T17:14:27;2025-11-11T22:58:18
2;BUY;STOP;1278.24;30766.95;22969.83;GTC;NEW;archaeology woot imaginary;ew dirty silver;2025-11-11T18:53:05;2025-11-12T09:54:54
3;BUY;MARKET;24472.04;3982.84;14851.66;GTC;PARTIAL;yahoo wherever grandiose;peppery yet whether;2025-11-12T10:55:03;2025-11-11T20:45:44
4;SELL;STOP;14923.39;6121.02;3890.38;IOC;PARTIAL;however once;gracefully;2025-11-12T03:47:58;2025-11-12T08:49:04
5;BUY;LIMIT;15108.04;4387.5;6461.85;IOC;WORKING;lighthearted;yippee unnaturally though;2025-11-11T12:58:17;2025-11-11T15:57:26
6;SELL;STOP_LIMIT;25303.43;12689.05;21162.86;IOC;PARTIAL;jive;bah furthermore;2025-11-11T22:16:29;2025-11-11T18:48:44
7;BUY;STOP;4039.47;19655.62;31420.21;DAY;WORKING;attest a;jeopardise;2025-11-11T17:09:32;2025-11-12T00:18:10
8;SELL;STOP;16181.59;20719.4;1632.88;DAY;CANCELED;how honestly wherever;punctuation;2025-11-11T16:09:02;2025-11-11T23:20:56
9;BUY;MARKET;1561.05;18646.84;7351.7;DAY;PARTIAL;throughout clavicle impressionable;dense making;2025-11-12T11:23:58;2025-11-11T22:34:03
10;BUY;LIMIT;20658.41;11551.1;31640.37;IOC;CANCELED;ack;gadzooks;2025-11-12T09:25:23;2025-11-11T22:21:35
