id;scope;initial_pct;maint_pct;span_json
1;self-reliant unfortunately yuck;16094.77;19067.6;../fake-data/blob/hipster.txt
2;below whenever;32727.94;22307.5;../fake-data/blob/hipster.txt
3;after;22575.13;11191.46;../fake-data/blob/hipster.txt
4;behind supposing;4968.83;20462.09;../fake-data/blob/hipster.txt
5;hm privilege upon;5669.5;22346.59;../fake-data/blob/hipster.txt
6;unfit furthermore;2029.49;18071.94;../fake-data/blob/hipster.txt
7;criminal tightly helpful;26450.52;2458;../fake-data/blob/hipster.txt
8;diligently hence;19354.49;16541.47;../fake-data/blob/hipster.txt
9;mozzarella;6291.97;12331.47;../fake-data/blob/hipster.txt
10;near instantly testimonial;6731.15;5982.04;../fake-data/blob/hipster.txt
