id;alert_type;description;created_at
1;AUTO_SQOFF;so;2025-11-11T18:25:49
2;MARGIN_BREACH;busily onto popularity;2025-11-12T05:23:34
3;MARGIN_BREACH;excluding consequently meh;2025-11-11T13:39:18
4;EXPOSURE_LIMIT;insecure;2025-11-12T01:57:37
5;MARGIN_BREACH;transplant bliss;2025-11-12T01:19:12
6;MARGIN_BREACH;rebuff successfully bravely;2025-11-11T20:45:34
7;AUTO_SQOFF;possession;2025-11-11T19:35:40
8;AUTO_SQOFF;hearten;2025-11-11T22:23:16
9;AUTO_SQOFF;although gah promptly;2025-11-12T05:48:41
10;EXPOSURE_LIMIT;rewrite instead private;2025-11-11T21:20:29
